ProductCode,VariantCode,ItemType,ShortName,ChitName,LongName,TaxGroup,SlateRetailCategory,AvailableOnline
120021,,Nacho Twister,Nacho Twister,Nacho Twister,1,100,Yes,
141049,,Reg 7Up,Reg 7Up,Reg 7Up,1,100,Yes,
OC Tower Double,,OC Tower Double,OC Tower Double,OC Tower Double,1,100,Yes,
120008,,Original Crunch Twister,Original Crunch Twister,Original Crunch Twister,1,100,Yes,
125023,,Zng Brekkie Tower,Zng Brekkie Tower,Zng Brekkie Tower,1,100,Yes,
141007,,Reg Pepsi,Reg Pepsi,Reg Pepsi,1,100,Yes,
145025,,Sparkling Peach Lemonade,Sparkling Peach Lemonade,Cherry Boba Refresher.,1,100,Yes,
136077,,Reg Coleslaw,Reg Coleslaw,Reg Coleslaw,1,100,Yes,
182012,,Crispy Fillet,Crispy Fillet,Crispy Fillet,1,100,Yes,
191001,,Go 1 OR Tender,Go 1 OR Tender,Go 1 OR Tender,1,100,Yes,
Zinger Tower Twister,,Zinger Tower Twister,Zinger Tower Twister,Zinger Tower Twister,1,100,Yes,
200036,,3 Dipping Sauce,3 Dipping Sauce,3 Dipping Sauce,1,100,Yes,
182014,,Hot & Crispy Boneless - 3 Pieces,Hot & Crispy Boneless - 3 Pieces,Hot & Crispy Boneless - 3 Pieces,1,100,Yes,
170108,,HS Leg,HS Leg,HS Leg,1,100,Yes,
141018,,NO 1.25LT DRINK,NO 1.25LT DRINK,NO 1.25LT DRINK,1,100,Yes,
145015,,Cherry Poppin Refresher,Cherry Poppin Refresher,Cherry Poppin Refresher,1,100,Yes,
120014,,Super Slider,Super Slider,Super Slider,1,100,Yes,
191005,,Dip Tomato,Dip Tomato,Dip Tomato,1,100,Yes,
141119,,Raspberry Freeze,Raspberry Freeze,Raspberry Freeze,1,100,Yes,
141118,,Pepsi Freeze,Pepsi Freeze,Pepsi Freeze,1,100,Yes,
141072,,1.25L Sunkist,1.25L Sunkist,1.25L Sunkist,1,100,Yes,
181004,,1 Wicked Wing,1 Wicked Wing,1 Wicked Wing,1,100,Yes,
136008,,Reg Chips,Reg Chips,Reg Chips,1,100,Yes,
180060,,10 PC,10 PC,10 PC,1,100,Yes,
205111,,$1 Donation,$1 Donation,$1 Donation,1,100,Yes,
184001,,Nuggets - 10 Pieces,Nuggets - 10 Pieces,Nuggets - 10 Pieces,1,100,Yes,
180052,,2 Pieces,2 Pieces,2 Pieces,1,100,Yes,
141114,,Lg Solo,Lg Solo,Lg Solo,1,100,Yes,
141030,,Reg Solo,Reg Solo,Reg Solo,1,100,Yes,
100090,,Original Crispy BBQ Bacon Stacker,Original Crispy BBQ Bacon Stacker,Original Crispy BBQ Bacon Stacker,1,100,Yes,
100262,,Triple Stacker,Triple Stacker,Triple Stacker,1,100,Yes,
145019,,Fairy Bread Krunch Shake,Fairy Bread Krunch Shake,Fairy Bread Krunch Shake,1,100,Yes,
145009,,Fairy Bread Krunch Shake,Fairy Bread Krunch Shake,Fairy Bread Krunch Shake,1,100,Yes,
182004,,10 Hot Crispy,10 Hot Crispy,10 Hot Crispy,1,100,Yes,
170502,,Zinger Fillet,Zinger Fillet,Zinger Fillet,1,100,Yes,
180053,,Original Recipe - 3 Pieces,Original Recipe - 3 Pieces,Original Recipe - 3 Pieces,1,100,Yes,
136026,,Gravy Regular,Gravy Regular,Gravy Regular,1,100,Yes,
141043,,Lg 7Up,Lg 7Up,Lg 7Up,1,100,Yes,
Zinger Tower Stacker,,Zinger Tower Stacker,Zinger Tower Stacker,Zinger Tower Stacker,1,100,Yes,
141117,,Mountain Dew Freeze,Mountain Dew Freeze,Mountain Dew Freeze,1,100,Yes,
141076,,Apple Juice,Apple Juice,Apple Juice,1,100,Yes,
100088,,Original Crispy Burger,Original Crispy Burger,Original Crispy Burger,1,100,Yes,
180105,,Build your Bucket D,Build your Bucket D,Build your Bucket D,1,100,Yes,
125022,,OC Brekkie Tower,OC Brekkie Tower,OC Brekkie Tower,1,100,Yes,
136066,,Original Bowl,Original Bowl,Original Bowl,1,100,Yes,
145014,,Watermelon Poppin Refresher,Watermelon Poppin Refresher,Watermelon Poppin Refresher,1,100,Yes,
100057,,Double Tender,Double Tender,Double Tender,1,100,Yes,
205112,,$2 Donation,$2 Donation,$2 Donation,1,100,Yes,
136067,,Zinger Crunch Bowl,Zinger Crunch Bowl,Zinger Crunch Bowl,1,100,Yes,
145101,,Lemonade Still,Lemonade Still,Lemonade Still,1,100,Yes,
184011,,5 Nuggets,5 Nuggets,5 Nuggets,1,100,Yes,
145005,,Cherry Poppin Refresher,Cherry Poppin Refresher,Cherry Poppin Refresher,1,100,Yes,
145007,,Chocolate Krunch Shake,Chocolate Krunch Shake,Chocolate Krunch Shake,1,100,Yes,
145010,,Lychee Boba Refresher,Lychee Boba Refresher,Lychee Boba Refresher,1,100,Yes,
141051,,Reg Solo,Reg Solo,Reg Solo,1,100,Yes,
141109,,Rasp Freeze,Rasp Freeze,Rasp Freeze,1,100,Yes,
120018,,Jumbo Nachos,Jumbo Nachos,Jumbo Nachos,1,100,Yes,
141113,,Lg Mt Dew,Lg Mt Dew,Lg Mt Dew,1,100,Yes,
191010,,Dip Aioli,Dip Aioli,Dip Aioli,1,100,Yes,
141111,,Lg Pepsi,Lg Pepsi,Lg Pepsi,1,100,Yes,
145022,,Pepsi Freeze Float,Pepsi Freeze Float,Cherry Boba Refresher.,1,100,Yes,
183049,,4 OR Tenders,4 OR Tenders,4 OR Tenders,1,100,Yes,
145023,,Raspberry Freeze Float,Raspberry Freeze Float,Cherry Boba Refresher.,1,100,Yes,
191013,,Go 1 Hot&Crispy,Go 1 Hot&Crispy,Go 1 Hot&Crispy,1,100,Yes,
184000,,Nuggets - 6 Pieces,Nuggets - 6 Pieces,Nuggets - 6 Pieces,1,100,Yes,
141052,,Reg Sunkist (Duplicate),Reg Sunkist (Duplicate),Reg Sunkist (Duplicate),1,100,Yes,
170104,,OR Thigh,OR Thigh,OR Thigh,1,100,Yes,
185000,,Regular Popcorn Chicken,Regular Popcorn Chicken,Regular Popcorn Chicken,1,100,Yes,
141002,,NO REG DRINK,NO REG DRINK,NO REG DRINK,1,100,Yes,
180073,,Build ur Bucket,Build ur Bucket,Build ur Bucket,1,100,Yes,
180101,,Original Recipe - 6 Pieces,Original Recipe - 6 Pieces,Original Recipe - 6 Pieces,1,100,Yes,
136035,,Gravy 2x110g,Gravy 2x110g,Gravy 2x110g,1,100,Yes,
185003,,Popcorn Bucket,Popcorn Bucket,Popcorn Bucket,1,100,Yes,
180054,,4 PC,4 PC,4 PC,1,100,Yes,
191002,,Popcorn Chicken Go Bucket,Popcorn Chicken Go Bucket,Popcorn Chicken Go Bucket,1,100,Yes,
184010,,Nuggets,Nuggets,Nuggets,1,100,Yes,
141040,,Reg 7Up,Reg 7Up,Reg 7Up,1,100,Yes,
170102,,Hot & Spicy,Hot & Spicy,Hot & Spicy,1,100,Yes,
136064,,Crunchy Jalapeno Slaw,Crunchy Jalapeno Slaw,Crunchy Jalapeno Slaw,1,100,Yes,
100062,,Zinger B&C,Zinger B&C,Zinger B&C,1,100,Yes,
141026,,1.25L Mt Dew,1.25L Mt Dew,1.25L Mt Dew,1,100,Yes,
136018,,Hashbrown PC,Hashbrown PC,Hashbrown PC,1,100,Yes,
191000,,Go 2 WickedWing,Go 2 WickedWing,Go 2 WickedWing,1,100,Yes,
141060,,Lg Pepsi Max,Lg Pepsi Max,Lg Pepsi Max,1,100,Yes,
OC Tower Burger,,OC Tower Burger,OC Tower Burger,OC Tower Burger,1,100,Yes,
141053,,Reg Sunkist z,Reg Sunkist z,Reg Sunkist z,1,100,Yes,
100068,,Zinger Crunch Burger,Zinger Crunch Burger,Zinger Crunch Burger,1,100,Yes,
141044,,1.25L 7Up,1.25L 7Up,1.25L 7Up,1,100,Yes,
170704,,6 Nuggets,6 Nuggets,6 Nuggets,1,100,Yes,
100260,,Zinger Stacker,Zinger Stacker,Zinger Stacker,1,100,Yes,
141099,,Pepsi Freeze,Pepsi Freeze,Pepsi Freeze,1,100,Yes,
141047,,Reg Pepsi Max,Reg Pepsi Max,Reg Pepsi Max,1,100,Yes,
180033,,15 PC,15 PC,15 PC,1,100,Yes,
136047,,4 Dinner Rolls,4 Dinner Rolls,4 Dinner Rolls,1,100,Yes,
141016,,Lg Sunkist z,Lg Sunkist z,Lg Sunkist z,1,100,Yes,
145012,,Spark Raspberry Lemonade,Spark Raspberry Lemonade,Spark Raspberry Lemonade,1,100,Yes,
136045,,Lg Coleslaw,Lg Coleslaw,Lg Coleslaw,1,100,Yes,
141035,,Reg Sunkist,Reg Sunkist,Reg Sunkist,1,100,Yes,
100060,,Double Tender,Double Tender,Double Tender,1,100,Yes,
145017,,Chocolate Krunch Shake,Chocolate Krunch Shake,Chocolate Krunch Shake,1,100,Yes,
184005,,18 Nuggets,18 Nuggets,18 Nuggets,1,100,Yes,
OC Tower Twister,,OC Tower Twister,OC Tower Twister,OC Tower Twister,1,100,Yes,
141078,,Kids Pop Top,Kids Pop Top,Kids Pop Top,1,100,Yes,
141037,,Lg Sunkist,Lg Sunkist,Lg Sunkist,1,100,Yes,
145024,,Mountain Dew Freeze Float,Mountain Dew Freeze Float,Cherry Boba Refresher.,1,100,Yes,
141115,,Lg Sunkist,Lg Sunkist,Lg Sunkist,1,100,Yes,
191008,,Dip Sweet Chili,Dip Sweet Chili,Dip Sweet Chili,1,100,Yes,
184002,,12 Nuggets,12 Nuggets,12 Nuggets,1,100,Yes,
170601,,Original Tender,Original Tender,Original Tender,1,100,Yes,
182007,,2 BONELESS H&C,2 BONELESS H&C,2 BONELESS H&C,1,100,Yes,
141110,,Lg Pepsi,Lg Pepsi,Lg Pepsi,1,100,Yes,
