ProductCode,VariantCode,ItemType,Action,POSNumber,Name,Price,Status,API_Status,API_Response_Content
PD0001,RegSunkistNoSugar,,Create,,,3.75,Failed,,Cannot create the Item because Variant Name is blank.
PD0001,XL7up,,Create,,,5.45,Failed,,Cannot create the Item because Variant Name is blank.
PD0001,XLMountDew,,Create,,,5.45,Failed,,Cannot create the Item because Variant Name is blank.
PD0001,XLPepsi,,Create,,,5.45,Failed,,Cannot create the Item because Variant Name is blank.
PD0001,XLPepsiMax,,Create,,,5.45,Failed,,Cannot create the Item because Variant Name is blank.
PD0001,XLSolo,,Create,,,5.45,Failed,,Cannot create the Item because Variant Name is blank.
PD0001,XLSunkist,,Create,,,5.45,Failed,,Cannot create the Item because Variant Name is blank.
PD0001,XLSunkistNoSugar,,Create,,,5.45,Failed,,Cannot create the Item because Variant Name is blank.
184000,184000,,,184000,6 Nuggets,7.95,,,
181003,181003,,,181003,15 Wicked Wings,100.00,,,
191008,191008,,,191008,Dip Sweet Chili,0.60,,,
141019,141019,,,141019,1.25L Pepsi,3.00,,,
183005,183005,,,183005,1 Tender,2.95,,,
205121,205121,,,205121,,0.00,,,
100501,100501,,,100501,Zinger B&C,8.95,,,
185000,185000,,,185000,Reg Popcorn,5.95,,,
191007,191007,,,191007,Dip Supercharge,0.60,,,
Pepsi,xf,,Create,,,0.00,Failed,,Cannot create the Item because Variant Name is blank.
180051,180051,,,180051,1 Piece,3.45,,,
180088,180088,,,180088,100 OR PC,185.00,,,
141125,141125,,,141125,Rasp Freeze,1.00,,,
COB-1PC,COB-HS-Breast,,Create,,,3.00,Failed,,Cannot create the Item because Variant Name is blank.
COB-1PC,COB-OR-Breast,,Create,,,3.00,Failed,,Cannot create the Item because Variant Name is blank.
COB-1PC,COB-HS-Leg,,Create,,,3.00,Failed,,Cannot create the Item because Variant Name is blank.
COB-1PC,COB-OR-Leg,,Create,,,3.00,Failed,,Cannot create the Item because Variant Name is blank.
COB-1PC,COB-HS-Rib,,Create,,,3.00,Failed,,Cannot create the Item because Variant Name is blank.
COB-1PC,COB-OR-Rib,,Create,,,3.00,Failed,,Cannot create the Item because Variant Name is blank.
COB-1PC,COB-HS-Thigh,,Create,,,3.00,Failed,,Cannot create the Item because Variant Name is blank.
COB-1PC,COB-OR-Thigh,,Create,,,3.00,Failed,,Cannot create the Item because Variant Name is blank.
COB-1PC,COB-HS-Wing,,Create,,,3.00,Failed,,Cannot create the Item because Variant Name is blank.
COB-1PC,COB-OR-Wing,,Create,,,3.00,Failed,,Cannot create the Item because Variant Name is blank.
120009,120009,,,120009,Zinger® Crunch Twister®,9.95,,,
141062,141062,,,141062,CT 1.25L Pepsi Max,4.45,,,
200038,200038,,,200038,2 Dipping Sauce,1.20,,,
182012,182012,,,182012,Crispy Fillet,4.95,,,
182014,182014,,,182014,3 Hot & Crispy,7.95,,,
100510,100510,Burger,,100510,Test001,1.11,,,
141099,141099,,,141099,Pepsi Freeze,5.00,,,
170502,170502,,,170502,Zinger Fillet,4.95,,,
100057,100057,,,100057,Double Tender,5.95,,,
182000,182000,,,182000,Fillet Pc,4.95,,,
100089,100089,,,100089,Orig Crispy B&C Burger,8.95,,,
180060,180060,,,180060,10 PC,19.95,,,
170504,170504,tslug,,170504,LT,2.00,,,
120007,120007,,,120007,BBQ Slider $2,2.00,,,
136067,136067,,,136067,Zinger Bowl,9.45,,,
183049,183049,,,183049,4 OR Tenders,19.16,,,
180101,180101,,,180101,6 PC,16.95,,,
141124,141124,,,141124,Dew Freeze,1.00,,,
191006,191006,,,191006,Dip BBQ,0.60,,,
120023,120023,,Create,120023,Nacho Twister,9.95,Failed,400,"ErrorCode: Common.EntityAlreadyExists  ErrorMessage: Menu item Nacho Twister already exists. [Request: 77146bcb-8ced-4e6b-a13c-b0100fc5601c, Correlation: 77146bcb-8ced-4e6b-a13c-b0100fc5601c, Item: 69368c4e-e40b-45d5-9da6-0b7837c8bff7, ItemID: '', ItemName: 'Nacho Twister']"
180033,180033,,,180033,15 PC,27.95,,,
