choiceCode,Regular_Item,Affect_Size,Item_Highlight,Item_Surcharge,Upsell_Item_1,Item_Highlight_1,Item_Surcharge_1,Size_Surcharge_1,Upsell_Item_2,Item_Highlight_2,Items_Surcharge_2,Size_Surcharge_2
Kids Meal Sides,136005,,Orange,.0,136005,,.0,,136005,,.0,
Shared Meals 1st Side choice,136015,,Orange,.0,136015,,.0,,136015,,.0,
Shared Meals 1st Side choice,136027,,Orange,.0,136027,,.0,,136027,,.0,
Shared Meals 1st Side choice,136045,,Orange,.0,136045,,.0,,136045,,.0,
Shared Meals 1st Side choice,136047,,Orange,.0,136047,,.0,,136047,,.0,
Maxi Popcorn Chicken,185001,,Orange,.0,185001,,.0,,185001,,.0,
Kids Meal Drinks,141076,,Orange,.0,141076,,.0,,141076,,.0,
Kids Meal Drinks,141016,,Orange,.0,141016,,.0,,141016,,.0,
Kids Meal Drinks,141040,,Orange,.0,141040,,.0,,141040,,.0,
Kids Meal Drinks,141007,,Orange,.0,141007,,.0,,141007,,.0,
Kids Meal Drinks,141013,,Orange,.0,141013,,.0,,141013,,.0,
Kids Meal Drinks,141070,,Orange,.0,141070,,.0,,141070,,.0,
Kids Meal Drinks,141126,,Orange,.0,141126,,.0,,141126,,.0,
Kids Meal Drinks,141020,,Orange,.0,141020,,.0,,141020,,.0,
Kids Meal Drinks,141030,,Orange,.0,141030,,.0,,141030,,.0,
SNK POPCORN CMB,185002,,Orange,.0,185002,,.0,,185002,,.0,
Popcorn Chicken choice,185000,,Orange,.0,185000,,.0,,185000,,.0,
Shared Meals 2nd Burger Choice,100088,,Orange,.0,100088,,.0,,100088,,.0,
Shared Meals 2nd Burger Choice,100089,,Orange,.0,100089,,.0,,100089,,.0,
Shared Meals 2nd Burger Choice,100501,,Orange,.0,100501,,.0,,100501,,.0,
Shared Meals 2nd Burger Choice,100502,,Orange,.0,100502,,.0,,100502,,.0,
Shared Meals 2nd Burger Choice,100500,,Orange,.0,100500,,.0,,100500,,.0,
Shared Meals 2nd Burger Choice,100057,,Orange,.0,100057,,.0,,100057,,.0,
Shared Meals 2nd Burger Choice,100250,,Orange,.0,100250,,.0,,100250,,.0,
Shared Meals 2nd Burger Choice,100089,,Orange,.0,100089,,.0,,100089,,.0,
Shared Meals 2nd Burger Choice,100501,,Orange,.0,100501,,.0,,100501,,.0,
Shared Meals 2nd Burger Choice,100502,,Orange,.0,100502,,.0,,100502,,.0,
Shared Meals 2nd Burger Choice,100500,,Orange,.0,100500,,.0,,100500,,.0,
Shared Meals 2nd Burger Choice,100068,,Orange,.0,100068,,.0,,100068,,.0,
Shared Meals 2nd Burger Choice,120009,,Orange,.0,120009,,.0,,120009,,.0,
Shared Meals 2nd Burger Choice,120008,,Orange,.0,120008,,.0,,120008,,.0,
Shared Meals 2nd Burger Choice,120009,,Orange,.0,120009,,.0,,120009,,.0,
Shared Meals 2nd Burger Choice,120008,,Orange,.0,120008,,.0,,120008,,.0,
10 Nuggets Choice,184001,,Orange,.0,184001,,.0,,184001,,.0,
6 PC H&C CMB,182019,,Orange,.0,182019,,.0,,182019,,.0,
Shared Meals 3rd Burger Choice,120008,,Orange,.0,120008,,.0,,120008,,.0,
Shared Meals 3rd Burger Choice,120009,,Orange,.0,120009,,.0,,120009,,.0,
Shared Meals 3rd Burger Choice,120008,,Orange,.0,120008,,.0,,120008,,.0,
Shared Meals 3rd Burger Choice,120009,,Orange,.0,120009,,.0,,120009,,.0,
Shared Meals 3rd Burger Choice,100068,,Orange,.0,100068,,.0,,100068,,.0,
Shared Meals 3rd Burger Choice,100500,,Orange,.0,100500,,.0,,100500,,.0,
Shared Meals 3rd Burger Choice,100502,,Orange,.0,100502,,.0,,100502,,.0,
Shared Meals 3rd Burger Choice,100501,,Orange,.0,100501,,.0,,100501,,.0,
Shared Meals 3rd Burger Choice,100089,,Orange,.0,100089,,.0,,100089,,.0,
Shared Meals 3rd Burger Choice,100250,,Orange,.0,100250,,.0,,100250,,.0,
Shared Meals 3rd Burger Choice,100057,,Orange,.0,100057,,.0,,100057,,.0,
Shared Meals 3rd Burger Choice,100500,,Orange,.0,100500,,.0,,100500,,.0,
Shared Meals 3rd Burger Choice,100502,,Orange,.0,100502,,.0,,100502,,.0,
Shared Meals 3rd Burger Choice,100501,,Orange,.0,100501,,.0,,100501,,.0,
Shared Meals 3rd Burger Choice,100089,,Orange,.0,100089,,.0,,100089,,.0,
Shared Meals 3rd Burger Choice,100088,,Orange,.0,100088,,.0,,100088,,.0,
Shared Meals 1.25L choice,141017,,Orange,.0,141017,,.0,,141017,,.0,
Shared Meals 1.25L choice,141026,,Orange,.0,141026,,.0,,141026,,.0,
Shared Meals 1.25L choice,141032,,Orange,.0,141032,,.0,,141032,,.0,
Shared Meals 1.25L choice,141044,,Orange,.0,141044,,.0,,141044,,.0,
Shared Meals 1.25L choice,141061,,Orange,.0,141061,,.0,,141061,,.0,
Shared Meals 1.25L choice,141011,,Orange,.0,141011,,.0,,141011,,.0,
Zinger® Crunch Bowl choice,136067,,Orange,.0,136067,,.0,,136067,,.0,
5 Original Tenders,183002,,Orange,.0,183002,,.0,,183002,,.0,
Zinger® Bacon & Cheese Burger choice,100501,,Orange,.0,100501,,.0,,100501,,.0,
15 PC Choice,180033,,Orange,.0,180033,,.0,,180033,,.0,
18 Nuggets Choice,184005,,Orange,.0,184005,,.0,,184005,,.0,
Boxed 1st Sides,136008,,Orange,.0,136008,,.0,,136008,,.0,
Boxed 1st Sides,136008,,Orange,.0,136008,,.0,,136008,,.0,
Boxed 1st Sides,136025,,Orange,.0,136025,,.0,,136025,,.0,
Boxed 1st Sides,136040,,Orange,.0,136040,,.0,,136040,,.0,
Boxed 1st Sides,136046,,Orange,.0,136046,,.0,,136046,,.0,
Boxed 1st Sides,136026,,Orange,.0,136026,,.0,,136026,,.0,
Kids Meal Slider choices,120002,,Orange,.0,120002,,.0,,120002,,.0,
Kids Meal Slider choices,120003,,Orange,.0,120003,,.0,,120003,,.0,
Kids Meal Slider choices,120002,,Orange,.0,120002,,.0,,120002,,.0,
Kids Meal Slider choices,120003,,Orange,.0,120003,,.0,,120003,,.0,
Original Tenders™ Crunch Bowl choice,136066,,Orange,.0,136066,,.0,,136066,,.0,
Shared Meals 3rd  Side choice,136015,,Orange,.0,136015,,.0,,136015,,.0,
Shared Meals 3rd  Side choice,136027,,Orange,.0,136027,,.0,,136027,,.0,
Shared Meals 3rd  Side choice,136045,,Orange,.0,136045,,.0,,136045,,.0,
Shared Meals 3rd  Side choice,136047,,Orange,.0,136047,,.0,,136047,,.0,
Combo Drinks,141007,,,,141111,,,1.60,141111,,,
Combo Drinks,141007,,,,141111,,,1.60,141111,,,
Combo Drinks,141040,,,,141043,,,1.60,141043,,,
Combo Drinks,141040,,,,141043,,,1.60,141043,,,
Combo Drinks,141020,,,,141025,,,1.60,141025,,,
Combo Drinks,141020,,,,141025,,,1.60,141025,,,
Combo Drinks,141030,,,,141031,,,1.60,141031,,,
Combo Drinks,141030,,,,141031,,,1.60,141031,,,
Combo Drinks,141015,,,,141016,,,.0,141016,,,
Combo Drinks,141015,,,,141016,,,.0,141016,,,
Combo Drinks,141070,,Orange,.0,141070,,.0,,141070,,.0,
Combo Drinks,141013,,Orange,.0,141013,,.0,,141013,,.0,
Combo Drinks,141076,,Orange,.0,141076,,.0,,141076,,.0,
Combo Drinks,141126,,Orange,.90,141126,,.90,,141126,,.90,
Zinger Burger Choice,100250,,Orange,.0,100250,,.0,,100250,,.0,
Shared Meals 4th Burger Choice,120008,,Orange,.0,120008,,.0,,120008,,.0,
Shared Meals 4th Burger Choice,120009,,Orange,.0,120009,,.0,,120009,,.0,
