Name,POSNumber,MenuItemUniqueID
Popcorn Chicken,100452,12097964-b9cb-4f0d-b4d6-558a472ef8e6
Popcorn Chicken,100453,94bdbff5-69c4-430b-befc-aef173d7cacd
Popcorn Chicken,100454,9bd9947e-1473-4628-989a-688ae6b00a69
Popcorn Chicken,100455,e488b921-0816-40b5-ab90-0797792b9b82
Popcorn Chicken,100456,3218288a-5231-4e0d-bc82-7786760c3e4d
Popcorn Chicken,100457,25e6df4f-31bd-4bc5-af18-a48fc2cbd02e
Popcorn Chicken,100458,9a8a24bf-8ce3-4003-a471-4ee3f6b597c5
Popcorn Chicken,100459,289f68e9-cf7d-4212-8d5f-e6bfc28b9f10
Popcorn Chicken,100460,17e3f09b-1deb-4a18-b16a-9eb35ba330e4
Popcorn Chicken,100461,fe668f13-a0a7-445a-b3c0-1b6da38aab6c
Popcorn Chicken,100462,531c0cfb-9225-4783-8784-3e3624648422
Zinger Stacker,100500,16060bc2-256b-4e7a-8878-b9557eb859ca
Zinger B&C,100501,068b24bf-428c-4bf8-9461-85065799c7fa
OC BBQ Stacker,100502,65af9872-2ecb-4a24-9fd6-42825a2aab97
_______________,119998,a7db128b-0e5e-4ae1-a0eb-13c26e73e2eb
<Twisters>,119999,3862fc33-ce34-447a-8c02-901c119a7235
Twister,120000,8f6b929a-34d5-4dcf-a603-ea8992bd0239
OR BacLov Twst,120001,889c31c5-7d24-43f9-a265-8d442f3ade2f
Pepper Slider,120002,0b2f7c96-ad58-43bc-9d48-1e91a9096a66
BBQ Slider,120003,54975bd3-aa54-4ebe-9d80-14bce7f8305d
2 Zinger Slidrs,120004,2b144c46-e17c-45b1-8e34-19e2ff8de6d2
ADD Pepper Sldr,120005,60dc087b-0e18-4c28-a3c0-efd8f161cefc
Pepper Slider,120006,e2991796-e370-4110-bd9b-c98f6d49c2c5
BBQ Slider,120007,dea5f635-85d9-44dd-bd1b-c476144943b4
Original Twist,120008,df7e6ebd-8f9e-4541-ba6c-5e46d07d4ee4
