MGroup_Name,MGroup_POSNumber,ModifierGroupUniqueID
Modify 50 Pcs,16043,ad7ec4f8-5aaf-4dd1-9a1c-f799dc4f1454
Modify 8 Pcs,16020,910e512c-1c13-4ffd-966e-8284fc219abd
Modify 9 Pcs,16021,a04baccb-24dc-46b5-9439-eac5b421103a
Burger Sauce,11753,603ddf09-e029-4581-8c79-3f8505739d67
1 Reg Side,11764,4b234e4f-2725-49be-9299-d4a30d2e0c71
Kwench Recipe,11755,8c2d634b-3840-47f2-86e0-0b2810014f17
50 Wicked Wings,16057,d4043d36-bd22-4ac0-8516-cfd292d2dfc5
Modify 23 Pcs,16013,e839dfbe-9df3-4b10-9fbc-4c2f21bf14a3
Side Salt Amount,17004,30db5f60-f86a-4d58-ab8f-c5c33fe09a0d
20 Wicked Wings,16055,3567cbe0-bbe3-4a4f-9311-fd5b3d7c2b44
Modify 3 H&C Pcs,15012,4a0c1482-7d14-471d-b0f9-fe2a37c58414
Add Flt,11769,2097b35e-7a88-4c9d-aa11-5b368a2fc48c
18 Large Sides,16049,784cd463-7b3f-4ab8-927a-6db81d385b5c
