ModifierGroup,ModifierGroupUniqueID,ModifierItem,ModifierItemUniqID
11750,f17aa41c-b530-454b-97bd-01f0656fae67,200009,197020e7-9d42-4f25-9422-f6d60f15a05c
11750,f17aa41c-b530-454b-97bd-01f0656fae67,200004,4b5f2def-61e2-431f-b16b-43b458f5e046
11750,f17aa41c-b530-454b-97bd-01f0656fae67,200008,a8025ec5-ecea-41c8-8c95-668b296b6df5
