choiceCode,variantCode,variantName,upcharge_Amount
Shared Meals 1.25L choice,141026,1.25L Mt Dew,.0
Shared Meals 1.25L choice,141032,1.25L Solo,.0
Shared Meals 1.25L choice,141044,1.25L 7Up,.0
Shared Meals 1.25L choice,141061,1.25L Pepsi Max,.0
Shared Meals 1.25L choice,141011,1.25L Pepsi,.0
Zinger® Crunch Bowl choice,136067,Zinger Bowl,.0
5 Original Tenders,183002,5 Tenders,.0
Zinger® Bacon & Cheese Burger choice,100501,Zinger B&C,.0
15 PC Choice,180033,15 PC,.0
18 Nuggets Choice,184005,18 Nuggets,.0
Boxed 1st Sides,136008,Portion Chips,.0
Boxed 1st Sides,136015,Lg Chips,1.60
Boxed 1st Sides,136025,Reg Pot/Gravy,.0
Boxed 1st Sides,136040,Reg Coleslaw,.0
Boxed 1st Sides,136046,Dinner Roll,.0
Boxed 1st Sides,136026,Gravy,.0
Kids Meal Slider choices,120002,Pepper Slider,.0
Kids Meal Slider choices,120003,BBQ Slider,.0
Original Tenders™ Crunch Bowl choice,136066,Original Bowl,.0
Shared Meals 3rd  Side choice,136015,Lg Chips,.0
Shared Meals 3rd  Side choice,136027,Lg Pot/Gravy,.0
Shared Meals 3rd  Side choice,136045,Lg Coleslaw,.0
Shared Meals 3rd  Side choice,136047,4 Dinner Rolls,.0
Combo Drinks,141007,Reg Pepsi,.0
Combo Drinks,141111,Lg Pepsi,1.60
Combo Drinks,141040,Reg 7Up,.0
Combo Drinks,141043,Lg 7Up,1.60
Combo Drinks,141020,Reg Mt Dew,.0
Combo Drinks,141025,Lg Mt Dew,1.60
Combo Drinks,141030,Reg Solo,.0
Combo Drinks,141031,Lg Solo,1.60
Combo Drinks,141015,Reg Sunkist,.0
Combo Drinks,141016,Lg Sunkist,.0
Combo Drinks,141070,Water 600mL,.0
Combo Drinks,141013,Sparkling Water,.0
Combo Drinks,141076,Apple Juice,.0
Combo Drinks,141126,Lipton Iced Tea,.90
Zinger Burger Choice,100250,Zinger Burger,.0
Shared Meals 4th Burger Choice,120008,Original Twist,.0
Shared Meals 4th Burger Choice,120009,Zinger Twist,.0
Shared Meals 4th Burger Choice,100068,Zinger Crunch,.0
Shared Meals 4th Burger Choice,100500,Zinger Stacker,.0
Shared Meals 4th Burger Choice,100501,Zinger B&C,.0
Shared Meals 4th Burger Choice,100250,Zinger Burger,.0
Shared Meals 4th Burger Choice,100057,Double Tender,.0
Shared Meals 4th Burger Choice,100502,OC BBQ Stacker,.0
Shared Meals 4th Burger Choice,100089,OC B&C,.0
Shared Meals 4th Burger Choice,100088,Orig Crispy Bgr,.0
Shared Meals 1st Burger Choice,120008,Original Twist,.0
Shared Meals 1st Burger Choice,120009,Zinger Twist,.0
Shared Meals 1st Burger Choice,100068,Zinger Crunch,.0
Shared Meals 1st Burger Choice,100500,Zinger Stacker,.0
Shared Meals 1st Burger Choice,100501,Zinger B&C,.0
Shared Meals 1st Burger Choice,100250,Zinger Burger,.0
Shared Meals 1st Burger Choice,100057,Double Tender,.0
Shared Meals 1st Burger Choice,100502,OC BBQ Stacker,.0
Shared Meals 1st Burger Choice,100089,OC B&C,.0
Shared Meals 1st Burger Choice,100088,Orig Crispy Bgr,.0
Shared Meals 4th Side choice,136047,4 Dinner Rolls,.0
Shared Meals 4th Side choice,136045,Lg Coleslaw,.0
Shared Meals 4th Side choice,136027,Lg Pot/Gravy,.0
Shared Meals 4th Side choice,136015,Lg Chips,.0
Original Crispy BBQ Bacon Stacker® Burger Choice,100502,OC BBQ Stacker,.0
Original Crispy Bacon & Cheese Burger choice,100088,Orig Crispy Bgr,.0
