choiceCode,Regular_Item,Affect_Size,Item_Highlight,Item_Surcharge,Upsell_Item_1,Item_Highlight_1,Item_Surcharge_1,Size_Surcharge_1,Upsell_Item_2,Item_Highlight_2,Items_Surcharge_2,Size_Surcharge_2
Shared Meals 1.25L choice,141061,,,.0,141061,,.0,,141061,,.0,
Shared Meals 1.25L choice,141019,,,.0,141019,,.0,,141019,,.0,
Shared Meals 1.25L choice,141026,,,.0,141026,,.0,,141026,,.0,
Shared Meals 1.25L choice,141032,,,.0,141032,,.0,,141032,,.0,
Shared Meals 1.25L choice,141017,,,.0,141017,,.0,,141017,,.0,
Shared Meals 1.25L choice,141006,,,.0,141006,,.0,,141006,,.0,
Shared Meals 1.25L choice,141018,,,.0,141018,,.0,,141018,,.0,
