choiceCode,Regular_Item,Affect_Size,Item_Highlight,Item_Surcharge,Upsell_Item_1,Item_Highlight_1,Item_Surcharge_1,Size_Surcharge_1,Upsell_Item_2,Item_Highlight_2,Items_Surcharge_2,Size_Surcharge_2
Combo 2nd Burger Choice,100502,,Orange,.0,100502,,.0,,100502,,.0,
Combo 2nd Burger Choice,100089,,Orange,.0,100089,,.0,,100089,,.0,
Combo 2nd Burger Choice,100502,,Orange,.0,100502,,.0,,100502,,.0,
Combo 2nd Burger Choice,100089,,Orange,.0,100089,,.0,,100089,,.0,
Combo 2nd Burger Choice,100088,,Orange,.0,100088,Orange,.0,,100088,Orange,.0,
Combo 2nd Burger Choice,100050,,Orange,.0,100050,Orange,.0,,100050,Orange,.0,
Shared Meals 2nd  Side choice,136047,,Orange,.0,136047,Orange,.0,,136047,Orange,.0,
4 PC Choice,180054,,Orange,.0,180054,Orange,.0,,180054,Orange,.0,
Double Tender™ Burger Combo choice,100057,,Orange,.0,100057,Orange,.0,,100057,Orange,.0,
Original Crunch Twister,120008,,Orange,.0,120008,Orange,.0,,120008,Orange,.0,
Boxed 2nd Sides,136040,,Orange,.0,136040,Orange,.0,,136040,Orange,.0,
Boxed 2nd Sides,136026,,Orange,.0,136026,Orange,.0,,136026,Orange,.0,
Boxed 2nd Sides,136046,,Orange,.0,136046,Orange,.0,,136046,Orange,.0,
Chips 2nd Choice,136018,,Orange,.0,136018,Orange,.0,,136018,Orange,.0,
3 PC H&C CMB,182014,,Orange,.0,182014,Orange,.0,,182014,Orange,.0,
8 OR Tenders,183004,,Orange,.0,183004,Orange,.0,,183004,Orange,.0,
Slider 2,120002,,Orange,.0,120002,Orange,.0,,120002,Orange,.0,
Boxed Chicken Choice - 3 Wicked Wings,170101,,Orange,.0,170101,Orange,.0,,170101,Orange,.0,
Boxed Chicken Choice - 3 Wicked Wings,182007,,Orange,.0,182007,Orange,.0,,182007,Orange,.0,
Boxed Chicken Choice - 3 Wicked Wings,170703,,Orange,.0,170703,Orange,.0,,170703,Orange,.0,
Boxed Chicken Choice - 3 Wicked Wings,170102,,Orange,.0,170102,Orange,.0,,170102,Orange,.0,
Boxed Chicken Choice - 3 Wicked Wings,170601,,Orange,.50,170601,Orange,.50,,170601,Orange,.50,
Boxed Chicken Choice - 3 Wicked Wings,182012,,Orange,1.35,182012,Orange,1.35,,182012,Orange,1.35,
Boxed Chicken Choice - 3 Wicked Wings,170502,,Orange,1.35,170502,Orange,1.35,,170502,Orange,1.35,
Boxed Chicken Choice - 3 Wicked Wings,185002,,Orange,.0,185002,Orange,.0,,185002,Orange,.0,
Combo 1st Sides Choice,136040,,Orange,.0,136040,Orange,.0,,136040,Orange,.0,
Combo 1st Sides Choice,136026,,Orange,.0,136026,Orange,.0,,136026,Orange,.0,
Combo 1st Sides Choice,136046,,Orange,.0,136046,Orange,.0,,136046,Orange,.0,
Zinger Crunch Burger Choice,100068,,Orange,.0,100068,Orange,.0,,100068,Orange,.0,
Tenders,170601,,Orange,.0,170601,Orange,.0,,170601,Orange,.0,
Tenders,183003,,Orange,.0,183003,Orange,.0,,183003,Orange,.0,
