choiceCode,Regular_Item,Affect_Size,Item_Highlight,Item_Surcharge,Upsell_Item_1,Item_Highlight_1,Item_Surcharge_1,Size_Surcharge_1,Upsell_Item_2,Item_Highlight_2,Items_Surcharge_2,Size_Surcharge_2
Combo 2nd Burger Choice,120008,,,.0,120008,,.0,,120008,,.0,
Combo 2nd Burger Choice,120009,,,.0,120009,,.0,,120009,,.0,
Combo 2nd Burger Choice,100068,,,.0,100068,,.0,,100068,,.0,
Combo 2nd Burger Choice,100250,,,.0,100250,,.0,,100250,,.0,
Combo 2nd Burger Choice,100057,,,.0,100057,,.0,,100057,,.0,
Combo 2nd Burger Choice,100089,,,.0,100089,,.0,,100089,,.0,
Combo 2nd Burger Choice,100088,,,.0,100088,,.0,,100088,,.0,
