PromotionID,Combo_Name,PromotionUniqueID
4010,ORIG CRISPY BOX,7a0c234d-cad5-4fca-bdc5-3e527128818b
7120,GO BUCK HOT CRISPY,88e19923-37fa-4e7e-ad4a-98b2c981cffb
1007,ZINGER STACKER CMB,0f4a2b00-581d-4c09-8b30-8c4452cde21f
4002,ZINGER BOX,5b5cdbb8-218d-4b59-9d34-e386bffa1c20
3103,! 3 TENDERS CMB u,20a74288-5a48-4dd7-b30c-375bdfc80527
9036,DBL BURG LCH r,5ac194bf-15d2-43fa-8f38-88a2232d9091
8002,STREETWISE FEAST,413e1e9a-3dcc-412e-a48e-90b23cbbe459
2999,*******************,c9bc5d92-f3bd-4bc4-b90d-ec84992d604f
8049,GIANT FEAST P AppPos,1c2fdc59-3dea-42e5-b55c-6cc11ca0bfc1
7022,OC BURGS CHIPS NUGS,a036fe8e-76e4-46ac-a04f-6dbbbbd2841f
4110,ZINGER BOX u,e46e6800-1259-41c6-8594-231e40622b85
4105,TWST ZNG CRUNCH BX u,9f1eb301-4d21-410d-ace4-7d29bd56eb26
1055,ZNG SLIDERS CMB,17fc6829-d9a3-47e3-896b-28ad49fa8f1f
9030,ROAD TRIP TREAT,342d529d-247c-4ba5-bc72-3b653206c584
7005,! THE ONE BOX,c7023e1e-13e4-45c2-a2a5-22f1dbceb2c3
9009,! DBL 2PC FEED,973e70b3-4d2b-4a53-ab7a-3c9608c9e426
9070,$10 BONELESS STK PK,d341041d-02ad-4279-b03b-de870356413d
1056,OC CHIPSTER CMB,e307b48c-7d47-4d4b-8284-271a44e4d387
1060,SLIDER STACK CMB,3333f3a8-e5ed-4fb0-b7c9-074b4b4ff26e
1011,ZINGER BOWL CMB,f2ce57d1-88ce-456a-8adb-3d127e8d2a00
4021,OC BQ STACK BOX,613dee19-c140-4b0f-b8c8-59394d1687cf
8051,9 PC DINNER P,e08de0cf-37e4-4e2a-a131-6648518d6b28
9505,BIG DINNER,7f7e2595-93be-4e18-ba40-09bce422dac1
9004,DBL BURG LUNCH r,6c980ed5-ae33-4300-94a3-1118f5d932a5
6103,POPCORN SLIDER PK,e223ca6a-4909-43c9-a3e1-f3ab645f122e
9043,GO BUCK & OC BURG r,e35fd1b1-b52b-4bb2-8754-115e193184e5
4107,ORIG CRISPY B&C BOXu,e4b337d4-fe10-46fb-94ec-7eb576325084
1010,ZINGER CRUNCH CMB,6d187074-4b6b-4e4a-a015-e4701e6508cf
9037,PACKED LUNCH,b7477fff-10dd-46aa-8345-b8e7fa4b5dce
8033,VALUE BURGER FEAST,62090361-272d-4692-85eb-10ba1e6ec0d5
9042,CHICK N CHIPS r,0a98de04-db6d-44f4-9f15-b1b0a5456531
1111,! 6 WING CMB u,6ebe30cf-781b-4a89-90ce-657f8a2f8274
9506,FR 600ML DRINK,57cdca80-0892-4535-8ccb-e75bd937a7bf
8014,GIANT FEAST,30e1a6b2-1e50-4e82-a18a-f9e53086aead
9035,$12.50 DBL WHAMMY r,53c4537b-a813-43c8-9247-e3260738c11c
1066,! OC TWST TOWER CMB,62392397-4af5-44d3-b160-0a0b0457f4c2
9005,NAKED ZING & CHIPS,6f3b3678-76ca-4195-9e56-9b70f90cd50f
7115,GO BUCKET POP,2915ca75-c2a4-4c30-8ef0-40899b494999
9501,**<HE Coupons LSM>**,001a2e44-ef04-4098-a415-605eda620c56
1030,21 PC CMB,7914b470-606a-454b-8ed4-f4a9df87f1e4
3104,! 5 TENDERS CMB u,a3e00b01-e5c3-417a-9bd3-dd8559f9ed7f
1024,3 WING CMB,8f75cd8b-9560-4f34-aa49-b1db79d0df1c
9514,! HE Add on Drinks,2658e2d9-7cd5-4269-b0a7-6a74226be645
8039,VALUE FEAST,c050eb49-9227-44ec-a0ba-2292f9a3952e
9046,ZINGER SLIDER CMB r,57420fec-b217-429b-a35f-57383678dda1
1110,! MAXI POPCORN CMB u,b504912c-c9dd-4071-b6f0-720c83b8d1d5
1105,! ZINGER TWIST CMB u,69198032-0ed1-4478-901a-5cee36f2ec72
1120,! KIDS 4 NUGGETS u,76065c9b-6e8d-427d-a34f-8ec6959e7831
9053,$8.95 DBLE BURGER ML,caacf5c4-7d42-40a4-ba49-458548992143
8018,FAMILY FEAST P,bf73d5b9-6eba-4eb2-8c22-256cf4b25519
7008,2 PC MOUSSE CM r,239894f7-33cc-46f3-b7ef-1644979e2d33
9069,TWO SLIDERS & CHIPS,29dd0b62-53a0-4aaf-9891-199be7ca965f
9007,FEAST FOR 2,6115f2ce-3a02-48cf-bc0c-99368d1ae566
9011,2 PC CMB,356041f0-9f71-4902-a668-35e45390a849
3004,5 TENDERS CMB,40deddb0-5a55-4cf6-bb46-60eade2d20de
9044,ZINGER WINGS CMB r,46ccbd44-95eb-4146-9c9f-f53a3436655e
7117,GO BUCK 1 TENDER,e46c2acf-0596-4194-a695-7d89c38e62d7
1122,! B&C ZINGER CMB u,5958768b-f040-46b2-aa53-71f00c1007c0
4013,COMPLETE TRT BOX,f01ccdd2-cf63-4636-a4a6-2046abb43842
1027,6 PC H&C CMB,7e9f0e6e-01a1-47d6-a590-2511e5808a59
3101,! 6 NUGGET CMB u,07c36e8f-ceb7-4e55-86b2-9cb1db9f10a9
7025,BONELESS PK FOR 2,fb03bc48-e0ab-4db3-b6ad-07b1fe8f2ff3
8036,DELIVERY FEAST,6f0f1dce-bce5-4204-9ad7-da3e733c51ae
7012,LUNCH FOR TWO,603e5dd5-91be-411f-98d5-bf70c4101518
4031,! OC TOW TWST POP BX,33600bd4-6f00-4462-b132-1ae47b6afcba
9008,BONELESS BOX,3a36db5e-f336-42e2-9b07-c2dd5f998a41
1000,SideDrink Burg Combo,b1282ba3-ad60-44e7-9ebe-5848d8b938ba
4011,FILLETS Z BOX,424fe128-87a8-44c6-b5fa-3948c559da66
10005,Variety Pack 50+,e368fd9b-3993-4abe-a9b3-faeca55b5e98
1004,! ZINGER KEBAB CMB,6eacd805-840b-435e-9975-24ab008d62ad
8047,NUGG PARTY PK,c9cfb1cd-5906-4e22-9d2c-4420891b03fd
9057,$15 TWISTER ML FOR 2,05af1233-2824-4cda-9895-7cc2774db123
4026,! OC TOWR STK POP BX,ecaba0bb-2a9d-4b8d-84a1-a2eca4dd861a
9029,BOGOF BGR CMB,d4a2cd67-b5df-4719-af87-8f186a7d2be0
1005,DBL TENDER CMB,c0b63e80-4046-4594-ae56-c54756ec76a3
4020,ORIG CRISPY B&C BOX,1588d02f-159f-4a68-84fa-7bd511bfa36d
7098,FAVOURITES BOX,74d8535f-4be4-4a4d-b674-366538873046
9031,$12 DBLE ZING FST,e463f16e-69fc-4391-8040-6c5ea2e60697
1064,! OC TOWER STK CMB,e44c373e-f5d9-4fea-9a34-646eaab051c6
3003,3 TENDERS CMB,6f60a632-c297-4aaa-aaf9-88e8418b2d95
1068,ZING STK CHEESY CMB,dfdb431b-044f-49fe-a10a-76b2d8073b2e
9515,! LE Add on Sides,a52fb829-5962-49b8-9dc8-3054db57cabd
7000,*******************,4646eb77-8226-4e53-aff8-03858c6866d9
