Name,POSNumber,MenuItemUniqueID
Pepper Slider,120006,e2991796-e370-4110-bd9b-c98f6d49c2c5
BBQ Slider,120007,dea5f635-85d9-44dd-bd1b-c476144943b4
Original Twist,120008,df7e6ebd-8f9e-4541-ba6c-5e46d07d4ee4
Zinger Twist,120009,ee55a1ad-bb10-4e26-963f-7bb2a1a546b8
H&C Slider,120010,1fce3c9e-7402-40c9-832e-3645796652d8
BBQ Slider,120011,a6456bbf-6678-4bdf-b3f9-f2dbd2d6d024
Super Slider,120012,6c3a9565-876b-4ff0-98b4-b3a7ebcacd6b
Twister Fiery,120013,8e01ff34-6ac0-469c-95a3-1a88037d5d04
Super Slider,120014,4b1f483b-95aa-43f6-81a2-cb2db006a506
Zng Stack Twist,120017,a2cb312f-c9ea-4e4d-a3b4-617ca97b6dc6
Jumbo Nachos,120018,af95989d-83f8-4b96-85d5-08d19300e0fe
Super Slider,120020,1300a56e-c35b-4f2e-b0ed-ea44e8b8b580
Nacho Twister,120021,69368c4e-e40b-45d5-9da6-0b7837c8bff7
Zinger Nachos,120022,34d7dc97-d219-4581-b34e-513052df0cf9
Nugget Slider,120024,5cb2174b-28ca-41c5-b15a-f5d1feb1061d
Zinger Banh Mi,120025,591c649d-aab9-4988-a091-0058a04d97fd
OC Kebab,120028,1cd22ea5-9aa6-4e29-bb32-0448df82a434
Original Twist,120029,77d30223-ae45-41b0-996a-18a2f3263832
Zinger Twist,120030,52677bb7-e01e-435a-b5cb-b6753e633ed8
H&C Wrap,120051,f297b834-a7c1-44f4-8d9e-e8e267b37b0c
Pepper Slider,120052,4d483316-b008-40b6-a027-7d5b297479dd
BBQ Slider,120053,3008ec30-23dd-4637-822a-608d978c564e
Super Slider,120054,68685836-8fef-4b46-a94b-f2eeed30f001
Pepper Slider,120501,b5272134-3753-407f-82cb-0fe2d6640048
BBQ Slider,120502,dce12dfa-5069-466e-962a-a107a7711fb1
Original Twist,120503,48c3e27d-0334-41f3-9232-33cd9147884d
Zinger Twist,120504,21817817-3c9e-4be0-b7c9-229df4a79e70
Super Slider,120505,a2ba69a5-f477-40e0-9318-e5f941ae814e
Test Twister 01,120506,3f5d82f6-2ed2-4e9a-a752-9d7f28bde512
Hot & Spicy Bre,124324,9cf1c2cf-ceea-493d-932f-ec06b46bab2d
_______________,125000,17b6a6f8-fb58-4bdf-9973-1d5920c4909f
<Breakfast>,125001,99b7a3e9-27db-479f-82ed-b89c3403ddc0
_______________,136000,e1eb4afe-d574-4bf9-ad79-3dc3627cd5e4
<Sides>,136001,97eab7e0-add4-4f64-b5bd-455b2ae56768
4 Reg Sides,136002,6d773fc9-eb4b-4f17-bc6d-55cd76101b6f
Cup Chips,136003,0fa0cf0f-7a40-4b6e-8fe4-95f22811e891
2 Prpl Cup Chip,136004,50f64c2f-9985-4043-aff6-f5524c703cf5
Reg Chips,136005,d7f4c90d-fc9f-467c-9c98-2a32d3ac7c58
4 Reg Sides,136006,5de43c54-d4f8-45ca-8680-97e9ddb07de5
Share Pk Chips,136007,3442da87-be48-45b2-b3a3-1320297ff90d
Portion Chips,136008,7c475574-a0e3-49ec-aa2f-f73ada2c19a5
5 Large Sides,136009,cd2f5981-3f0f-4faf-9cc3-57c32e95f58e
Lg Chips,136010,22571445-3e85-42c2-9bdc-364c09c10743
Upsize Chips,136011,b8103aaa-a0ef-48a2-8b73-db7a027cdaf9
8 Large Sides,136012,0f8d0bb7-f236-47bf-96ff-a3c79518e021
12 Large Sides,136013,19c63e4a-d607-4275-9ea4-e6ac67bac726
18 Large Sides,136014,1d24711c-4234-43e5-a4c9-830d704db3db
Lg Chips,136015,247a90ef-d4cb-49c5-b4b7-1d5aea9b0f4c
Lg Chips,136016,02947a0e-b1f2-4909-b58e-d5bbf6e4e4db
Reg Chips,136017,c1842f21-2d7e-4acb-a0ef-6215081e4fb8
$1 Reg Chips,136018,c5e4f9c5-6007-435b-8895-f913665e677e
Pineapple Fritt,136019,01245371-3645-4a3c-99ee-a5a6b81c0793
Lg Chips,136022,495d5688-4f8b-4ad1-b321-5ef82825bb0a
2 Cup Chips,136023,b01f2236-e089-462c-a498-d53918e75d6b
3 Large Sides,136024,9c08b0e7-8a02-4704-b3d6-b2bcaa903604
Reg Pot/Gravy,136025,4ae2becd-e5e6-4f87-b699-a5f884d8d3c8
Gravy,136026,22f262c5-a0ae-452c-8170-75b0ab35f53c
Lg Pot/Gravy,136027,f749f20b-8fb8-46c6-832c-e0698893ec12
Reg Pot/Gvy,136028,350653e4-cea7-4c86-a089-fd251867c941
Reg Chips,136031,72c4356c-e2d5-41bd-b9c1-6dbadbfee82d
