choiceCode,Regular_Item,Affect_Size,Item_Highlight,Item_Surcharge,Upsell_Item_1,Item_Highlight_1,Item_Surcharge_1,Size_Surcharge_1,Upsell_Item_2,Item_Highlight_2,Items_Surcharge_2,Size_Surcharge_2
Boxed Chicken. - 1 PC Original Tender,185002,,,.0,185002,,.0,,185002,,.0,
Boxed Chicken. - 1 PC Original Tender,170502,,,.0,170502,,.0,,170502,,.0,
Boxed Chicken. - 1 PC Original Tender,182012,,,.0,182012,,.0,,182012,,.0,
Boxed Chicken. - 1 PC Original Tender,170601,,,.0,170601,,.0,,170601,,.0,
Boxed Chicken. - 1 PC Original Tender,170102,,,.0,170102,,.0,,170102,,.0,
Boxed Chicken. - 1 PC Original Tender,170703,,,.0,170703,,.0,,170703,,.0,
Boxed Chicken. - 1 PC Original Tender,182007,,,.0,182007,,.0,,182007,,.0,
Boxed Chicken. - 1 PC Original Tender,170101,,,.0,170101,,.0,,170101,,.0,
