choiceCode,variantCode,variantName,upcharge_Amount
Shared Meals 2nd Burger Choice,120008,Original Twist,.0
Shared Meals 2nd Burger Choice,100050,Fillet Burger,.0
Zinger® Crunch Twister,120009,Zinger Twist,.0
Twister 1,120009,Zinger Twist,.0
10 Nuggets Choice,184001,10 Nuggets,.0
Combo 2nd Drinks choice,141070,Water 600mL,.0
Combo 2nd Drinks choice,141013,Sparkling Water,.0
Combo 2nd Drinks choice,141076,Apple Juice,.0
Combo 2nd Drinks choice,141126,Lipton Iced Tea,.90
6 PC H&C CMB,182019,6 Hot Crispy,.0
Shared Meals 3rd Burger Choice,120008,Original Twist,.0
Shared Meals 3rd Burger Choice,120009,Zinger Twist,.0
Shared Meals 3rd Burger Choice,100068,Zinger Crunch,.0
Shared Meals 3rd Burger Choice,100500,,.0
Shared Meals 3rd Burger Choice,100501,Double Tender,.0
Shared Meals 3rd Burger Choice,,100250NOTADUPE,.0
Shared Meals 3rd Burger Choice,100057,Double Tender,.0
Shared Meals 3rd Burger Choice,100502,Zinger B&C,.0
Shared Meals 3rd Burger Choice,100089,OC B&C,.0
Shared Meals 3rd Burger Choice,100088,Orig Crispy Bgr,.0
Shared Meals 3rd Burger Choice,100050,Fillet Burger,.0
Shared Meals 1.25L choice,141026,1.25L Mt Dew,.0
Shared Meals 1.25L choice,,141018_VAR1_TEST,.0
Shared Meals 1.25L choice,,141006_VAR1_TEST,.0
Zinger® Crunch Bowl choice,136067,Zinger Bowl,.0
5 Original Tenders,183002,5 Tenders,.0
Zinger® Bacon & Cheese Burger choice,100501,Double Tender,.0
Popcorn N Twister Choice,120016,Pop N Twister,.0
Twister 2,120009,Zinger Twist,.0
15 PC Choice,180033,15 PC,.0
18 Nuggets Choice,184005,18 Nuggets,.0
Boxed 1st Sides,136040,Reg Coleslaw,.0
Boxed 1st Sides,136046,Dinner Roll,.0
Boxed 1st Sides,136026,Gravy,.0
Boxed 1st Sides,136025,Reg Pot/Gravy,.0
Choco Mousse Choice,136050,Choc Mousse,.0
Choco Mousse Choice,136056,ADD 2 Choc Mous,.0
Kids Meal Slider choices,120002,Pepper Slider,.0
Kids Meal Slider choices,120003,BBQ Slider,.0
Kids Meal Slider choices,120012,Super Slider,.0
1 PC Choice,180051,1 PC,.0
1 PC Choice,170102,> HOT & SPICY <,.0
Triple Stacker Burger Choice,100262,Triple Stacker,.0
20 Nuggets Choice,184017,20 Nuggets,.0
Original Tenders™ Crunch Bowl choice,136066,Original Bowl,.0
