Column1,Column2
16056 - 30 Wicked Wings Modifier,
16077 - Build Your Bucket Delivery,
16037 - 4 Dipping Sauces,
burger.slot.extras,
16033 - 8 Tenders Modifier,
drink.slot.freeze-modification,
16054 - 2 Wicked Wings Modifier,
side.slot.moify-chips,
11767 - 4 Reg Drinks,
burger.slot.recipe,
16066 - Build Your Bucket Eat Out,
